09:28:11 | L3 | SESION | Cierre de sesion Nº4
09:28:49 | L3 | SESION | Apertura de sesion Nº39
09:29:13 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº1 con tema: Aprobación del acta de la sesión anterior, lectura y consideración
09:29:20 | L3 | VOTACION | Cierre forzado - sin votar: [Dardo Petroli (banca Nro:9), Roxana Barrera (banca Nro:10), Federico Garitano (banca Nro:7), Nadia Garay (banca Nro:12), Walter Herrero (banca Nro:11), Lucila González (banca Nro:8), Hernán Pereira (banca Nro:6), Lorena Moreno (banca Nro:1), Andrea Garachico (banca Nro:5), Gastón Cuis Taccari (banca Nro:4), Samuel Alarcón Muñoz (banca Nro:2), Andrea Rueda (banca Nro:3)]
09:29:24 | L3 | SESION | Cierre de sesion Nº39
09:29:29 | L3 | SESION | Apertura de sesion Nº98
09:29:34 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº2 con tema: Declaración de interés municipal, jornada de salud comunitaria en barrios
09:33:05 | L3 | VOTACION | Cierre forzado - sin votar: [Dardo Petroli (banca Nro:9), Roxana Barrera (banca Nro:10), Federico Garitano (banca Nro:7), Nadia Garay (banca Nro:12), Walter Herrero (banca Nro:11), Lucila González (banca Nro:8), Hernán Pereira (banca Nro:6), Lorena Moreno (banca Nro:1), Andrea Garachico (banca Nro:5), Gastón Cuis Taccari (banca Nro:4), Samuel Alarcón Muñoz (banca Nro:2), Andrea Rueda (banca Nro:3)]
09:33:08 | L3 | SESION | Cierre de sesion Nº98
09:33:15 | L3 | SESION | Apertura de sesion Nº39
09:46:56 | L3 | SESION | Cierre de sesion Nº39
09:47:01 | L3 | SESION | Apertura de sesion Nº39
09:47:04 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº3 con tema: Pedido de informes, estado del alumbrado público en Barrio Sur
09:47:12 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev09]
09:47:12 | L3 | VOTO | Dardo Petroli (banca Nro:9) voto: Positivo
09:47:12 | L2 | INPUT | Dardo Petroli (banca Nro:9) voto: Positivo
09:47:13 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev10]
09:47:13 | L3 | VOTO | Roxana Barrera (banca Nro:10) voto: Positivo
09:47:13 | L2 | INPUT | Roxana Barrera (banca Nro:10) voto: Positivo
09:47:13 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev11]
09:47:13 | L3 | VOTO | Walter Herrero (banca Nro:11) voto: Positivo
09:47:13 | L2 | INPUT | Walter Herrero (banca Nro:11) voto: Positivo
09:47:14 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev12]
