09:42:33 | L1 | SESION | Apertura de sesion
09:42:41 | L1 | SESION | Rechazo de apertura de sesion porque ya hay sesion abierta
09:44:35 | L2 | VOTACION | Fallo apertura de votacion al no haber sesion activa
09:45:38 | L1 | SESION | Apertura de sesion
09:45:47 | L1 | VOTACION | Apertura de votacion de tipo string Nº3 con tema: string
09:49:54 | L1 | SESION | Apertura de sesion
09:50:36 | L1 | VOTACION | Apertura de votacion de tipo despacho Nº9 con tema: presupuesto
09:51:28 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
09:51:35 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Abstencion
09:51:37 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
09:51:39 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Negativo
09:51:41 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Negativo
09:51:42 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Abstencion
09:51:43 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
09:51:44 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Positivo
09:51:46 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
09:51:47 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
09:51:49 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
09:51:51 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
09:56:44 | L1 | SESION | Apertura de sesion
09:56:54 | L1 | VOTACION | Apertura de votacion de tipo despacho Nº92 con tema: presupuesto
09:57:14 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
09:57:16 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
09:57:16 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Abstencion
09:57:17 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Negativo
09:57:18 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
09:57:19 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
09:57:20 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Positivo
09:57:21 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Abstencion
09:57:23 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
09:57:24 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Positivo
09:57:25 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Positivo
09:58:51 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
10:00:42 | L1 | SESION | Apertura de sesion
10:00:55 | L1 | VOTACION | Apertura de votacion de tipo despacho Nº92 con tema: presupuesto
