09:38:04 | L3 | SESION | Cierre de sesion Nº93
09:38:07 | L3 | SESION | Apertura de sesion Nº683
09:38:14 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº97 con tema: gr
09:38:18 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Positivo
09:38:20 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Abstencion
09:38:21 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Negativo
09:38:25 | L3 | INPUT | Denzel Washington (banca Nro:7) se AUSENTO
09:38:28 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Positivo
09:59:14 | L3 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Emma Stone (banca Nro:8), Cate Blanchett (banca Nro:10)]
09:59:14 | L3 | SESION | Cierre de sesion Nº683
09:59:18 | L3 | SESION | Apertura de sesion Nº369
09:59:58 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº29 con tema: Exención impositiva a instituciones deportivas, requisitos y control
10:00:05 | L3 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
10:00:07 | L3 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
10:00:07 | L3 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
10:00:08 | L3 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
10:00:09 | L3 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
10:00:10 | L3 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
10:00:12 | L3 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
10:00:13 | L3 | VOTO | Emma Stone (banca Nro:8) voto: Negativo
10:00:15 | L3 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
10:00:15 | L3 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
10:00:16 | L3 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
10:00:18 | L3 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
