11:16:19 | L3 | SESION | Apertura de sesion Nº93
11:17:38 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev01]
11:17:38 | L3 | INPUT | Lorena Moreno (banca Nro:1) se AUSENTO
11:17:43 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev06]
11:17:43 | L3 | INPUT | Hernán Pereira (banca Nro:6) se AUSENTO
11:17:45 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev08]
11:17:45 | L3 | INPUT | Lucila González (banca Nro:8) se AUSENTO
11:18:05 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev07]
11:18:05 | L3 | INPUT | Federico Garitano (banca Nro:7) se AUSENTO
11:18:06 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev07]
11:18:06 | L3 | INPUT | Federico Garitano (banca Nro:7) se PRESENTO
11:18:07 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev07]
11:18:07 | L3 | INPUT | Federico Garitano (banca Nro:7) se AUSENTO
11:18:08 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev07]
11:18:08 | L3 | INPUT | Federico Garitano (banca Nro:7) se PRESENTO
11:18:55 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev08]
11:18:55 | L3 | INPUT | Lucila González (banca Nro:8) se PRESENTO
11:18:56 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev08]
11:18:56 | L3 | INPUT | Lucila González (banca Nro:8) se AUSENTO
11:53:50 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº3 con tema: Pedido de informes, estado del alumbrado público en Barrio Sur
11:53:53 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
11:53:53 | L2 | INPUT | Lorena Moreno (banca Nro:1) interactua sin dar presente
11:53:53 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev02]
11:53:53 | L3 | VOTO | Samuel Alarcón Muñoz (banca Nro:2) voto: Positivo
11:53:53 | L2 | INPUT | Samuel Alarcón Muñoz (banca Nro:2) voto: Positivo
11:53:54 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev03]
11:53:54 | L3 | VOTO | Andrea Rueda (banca Nro:3) voto: Abstencion
11:53:54 | L2 | INPUT | Andrea Rueda (banca Nro:3) voto: Abstencion
11:53:58 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev04]
11:53:58 | L3 | INPUT | Gastón Cuis Taccari (banca Nro:4) se AUSENTO
11:53:59 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev04]
11:53:59 | L3 | INPUT | Gastón Cuis Taccari (banca Nro:4) se PRESENTO
11:54:00 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev04]
11:54:00 | L3 | PALABRA | Gastón Cuis Taccari (banca Nro:4) pidio la palabra
11:54:00 | L2 | INPUT | Gastón Cuis Taccari (banca Nro:4) pidio la PALABRA
11:54:02 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev08]
11:54:02 | L2 | INPUT | Lucila González (banca Nro:8) interactua sin dar presente
11:54:05 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev12]
11:54:05 | L3 | PALABRA | Nadia Garay (banca Nro:12) pidio la palabra
11:54:05 | L2 | INPUT | Nadia Garay (banca Nro:12) pidio la PALABRA
11:54:07 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev11]
11:54:07 | L3 | PALABRA | Walter Herrero (banca Nro:11) pidio la palabra
11:54:07 | L2 | INPUT | Walter Herrero (banca Nro:11) pidio la PALABRA
11:54:09 | L3 | PALABRA | Se otorgo uso de la palabra a Gastón Cuis Taccari (banca Nro:4)
11:54:44 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
11:54:44 | L2 | INPUT | Lorena Moreno (banca Nro:1) interactua sin dar presente
11:54:45 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev02]
11:54:45 | L2 | INPUT | Samuel Alarcón Muñoz (banca Nro:2) ERROR en registro voto: concejal_ya_voto
11:54:47 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev03]
11:54:47 | L2 | INPUT | Andrea Rueda (banca Nro:3) ERROR en registro voto: concejal_ya_voto
11:54:48 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev04]
11:54:48 | L3 | VOTO | Gastón Cuis Taccari (banca Nro:4) voto: Positivo
11:54:48 | L2 | INPUT | Gastón Cuis Taccari (banca Nro:4) voto: Positivo
11:54:50 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
11:54:50 | L3 | VOTO | Andrea Garachico (banca Nro:5) voto: Positivo
11:54:50 | L2 | INPUT | Andrea Garachico (banca Nro:5) voto: Positivo
11:54:50 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev06]
11:54:50 | L2 | INPUT | Hernán Pereira (banca Nro:6) interactua sin dar presente
11:54:51 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev07]
11:54:51 | L3 | VOTO | Federico Garitano (banca Nro:7) voto: Positivo
11:54:51 | L2 | INPUT | Federico Garitano (banca Nro:7) voto: Positivo
11:54:53 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev08]
11:54:53 | L2 | INPUT | Lucila González (banca Nro:8) interactua sin dar presente
11:54:55 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev09]
11:54:55 | L3 | VOTO | Dardo Petroli (banca Nro:9) voto: Negativo
11:54:55 | L2 | INPUT | Dardo Petroli (banca Nro:9) voto: Negativo
11:54:56 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev10]
11:54:56 | L3 | VOTO | Roxana Barrera (banca Nro:10) voto: Abstencion
11:54:56 | L2 | INPUT | Roxana Barrera (banca Nro:10) voto: Abstencion
11:54:56 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev11]
11:54:56 | L3 | VOTO | Walter Herrero (banca Nro:11) voto: Positivo
11:54:57 | L2 | INPUT | Walter Herrero (banca Nro:11) voto: Positivo
11:54:58 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev12]
11:54:58 | L3 | VOTO | Nadia Garay (banca Nro:12) voto: Negativo
11:54:58 | L3 | VOTACION | Votacion Nº3 completada. Resultado: APROBADA - Votos: 9 de 12 - 5 Positivos, 2 Negativos y 2 Abstenciones
11:54:58 | L2 | INPUT | Nadia Garay (banca Nro:12) voto: Negativo
11:55:05 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº1 con tema: Aprobación del acta de la sesión anterior, lectura y consideración
11:55:08 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev11]
11:55:08 | L3 | VOTO | Walter Herrero (banca Nro:11) voto: Negativo
11:55:08 | L2 | INPUT | Walter Herrero (banca Nro:11) voto: Negativo
11:55:09 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev11]
11:55:09 | L2 | INPUT | Walter Herrero (banca Nro:11) ERROR en registro voto: concejal_ya_voto
11:55:10 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev08]
11:55:10 | L2 | INPUT | Lucila González (banca Nro:8) interactua sin dar presente
11:55:11 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev06]
11:55:11 | L2 | INPUT | Hernán Pereira (banca Nro:6) interactua sin dar presente
11:55:12 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
11:55:12 | L3 | VOTO | Andrea Garachico (banca Nro:5) voto: Positivo
11:55:12 | L2 | INPUT | Andrea Garachico (banca Nro:5) voto: Positivo
11:55:13 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev12]
11:55:13 | L3 | VOTO | Nadia Garay (banca Nro:12) voto: Negativo
11:55:13 | L2 | INPUT | Nadia Garay (banca Nro:12) voto: Negativo
12:28:33 | L3 | PALABRA | Se otorgo uso de la palabra a Nadia Garay (banca Nro:12)
13:14:53 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev11]
13:14:53 | L2 | INPUT | Walter Herrero (banca Nro:11) ERROR en registro voto: concejal_ya_voto
13:14:55 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev12]
13:14:55 | L2 | INPUT | Nadia Garay (banca Nro:12) ERROR en registro voto: concejal_ya_voto
13:14:57 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev08]
13:14:57 | L2 | INPUT | Lucila González (banca Nro:8) interactua sin dar presente
13:14:59 | L2 | INPUT | Pulsacion registrada: Tecla [2] del dispositivo [dev07]
13:14:59 | L3 | VOTO | Federico Garitano (banca Nro:7) voto: Abstencion
13:14:59 | L2 | INPUT | Federico Garitano (banca Nro:7) voto: Abstencion
13:29:19 | L3 | PALABRA | Se quito el uso de la palabra a Nadia Garay (banca Nro:12)
13:29:21 | L3 | PALABRA | Se otorgo uso de la palabra a Walter Herrero (banca Nro:11)
13:29:23 | L3 | PALABRA | Se quito el uso de la palabra a Walter Herrero (banca Nro:11)
13:29:34 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev01]
13:29:34 | L2 | INPUT | Lorena Moreno (banca Nro:1) interactua sin dar presente
