13:20:20 | L1 | SESION | Apertura de sesion Nº685
13:20:38 | L1 | SESION | Cierre de sesion Nº685
13:20:44 | L1 | SESION | Apertura de sesion Nº683
13:21:39 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:21:51 | L1 | VOTACION | Cierre forzado [<app.models.concejal.Concejal object at 0x0000027577B12F90>, <app.models.concejal.Concejal object at 0x0000027577B112B0>, <app.models.concejal.Concejal object at 0x0000027577AC7A00>, <app.models.concejal.Concejal object at 0x0000027577967710>, <app.models.concejal.Concejal object at 0x0000027577967350>, <app.models.concejal.Concejal object at 0x0000027577B8DC80>, <app.models.concejal.Concejal object at 0x0000027577B8DD30>, <app.models.concejal.Concejal object at 0x00000275769114F0>, <app.models.concejal.Concejal object at 0x0000027577AD8E10>, <app.models.concejal.Concejal object at 0x0000027577AEEF00>, <app.models.concejal.Concejal object at 0x0000027577B91BD0>, <app.models.concejal.Concejal object at 0x0000027577B91C50>] sin votar
13:32:06 | L1 | SESION | Apertura de sesion Nº683
13:32:13 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:33:10 | L1 | SESION | Rechazo de apertura de sesion porque ya hay sesion abierta
13:33:12 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:33:40 | L1 | SESION | Apertura de sesion Nº683
13:33:43 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:33:44 | L1 | VOTACION | Cierre forzado [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)] sin votar
13:34:26 | L1 | SESION | Apertura de sesion Nº683
13:34:30 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:34:32 | L1 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
13:34:38 | L1 | SESION | Rechazo de apertura de sesion porque ya hay sesion abierta
13:34:41 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:34:47 | L2 | VOTACION | Fallo apertura de votacion al ya haber una votacion activa
13:34:57 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev01]
13:34:57 | L1 | INPUT | Robert Downey Jr (banca Nro:1) se AUSENTO
13:35:02 | L2 | INPUT | Pulsacion registrada: Tecla [7] del dispositivo [dev01]
13:35:02 | L1 | INPUT | Robert Downey Jr (banca Nro:1) se PRESENTO
13:35:05 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev01]
13:35:05 | L1 | PALABRA | Robert Downey Jr (banca Nro:1) pidio la palabra
13:35:07 | L2 | INPUT | Pulsacion registrada: Tecla [9] del dispositivo [dev01]
13:35:07 | L1 | PALABRA | Robert Downey Jr (banca Nro:1) retiro el pedido la palabra
13:35:57 | L2 | VOTACION | Fallo apertura de votacion al ya haber una votacion activa
13:36:01 | L1 | VOTACION | Cierre forzado - sin votar: [Robert Downey Jr (banca Nro:1), Scarlett Johansson (banca Nro:2), Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
13:36:01 | L1 | SESION | Cierre de sesion Nº683
13:36:40 | L1 | SESION | Apertura de sesion Nº683
13:36:42 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:36:46 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
13:36:46 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:36:47 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev02]
13:36:47 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Negativo
13:36:50 | L1 | VOTACION | Cierre forzado - sin votar: [Leonardo DiCaprio (banca Nro:3), Natalie Portman (banca Nro:4), Tom Hanks (banca Nro:5), Meryl Streep (banca Nro:6), Denzel Washington (banca Nro:7), Emma Stone (banca Nro:8), Brad Pitt (banca Nro:9), Cate Blanchett (banca Nro:10), Keanu Reeves (banca Nro:11), Jennifer Lawrence (banca Nro:12)]
13:36:58 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:37:03 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev01]
13:37:03 | L1 | VOTO | Robert Downey Jr (banca Nro:1) voto: Positivo
13:37:04 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev02]
13:37:04 | L1 | VOTO | Scarlett Johansson (banca Nro:2) voto: Positivo
13:37:05 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev03]
13:37:05 | L1 | VOTO | Leonardo DiCaprio (banca Nro:3) voto: Positivo
13:37:06 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev04]
13:37:06 | L1 | VOTO | Natalie Portman (banca Nro:4) voto: Positivo
13:37:09 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev05]
13:37:09 | L1 | VOTO | Tom Hanks (banca Nro:5) voto: Positivo
13:37:10 | L2 | INPUT | Pulsacion registrada: Tecla [1] del dispositivo [dev06]
13:37:10 | L1 | VOTO | Meryl Streep (banca Nro:6) voto: Positivo
13:37:11 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev07]
13:37:11 | L1 | VOTO | Denzel Washington (banca Nro:7) voto: Negativo
13:37:11 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev08]
13:37:11 | L1 | VOTO | Emma Stone (banca Nro:8) voto: Negativo
13:37:13 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev09]
13:37:13 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
13:37:14 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev10]
13:37:14 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
13:37:15 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev11]
13:37:15 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
13:37:16 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev12]
13:37:16 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
13:37:28 | L1 | VOTACION | Apertura de votacion de tipo Despacho Nº12 con tema: gr
13:37:32 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev12]
13:37:32 | L1 | VOTO | Jennifer Lawrence (banca Nro:12) voto: Negativo
13:37:33 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev11]
13:37:33 | L1 | VOTO | Keanu Reeves (banca Nro:11) voto: Negativo
13:37:33 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev10]
13:37:33 | L1 | VOTO | Cate Blanchett (banca Nro:10) voto: Negativo
13:37:34 | L2 | INPUT | Pulsacion registrada: Tecla [3] del dispositivo [dev09]
13:37:34 | L1 | VOTO | Brad Pitt (banca Nro:9) voto: Negativo
