09:20:15 | L3 | SESION | Apertura de sesion Nº93
09:20:34 | L3 | VOTACION | Apertura de votacion de tipo Despacho Nº3 con tema: Pedido de informes, estado del alumbrado público en Barrio Sur
09:20:38 | L3 | VOTO | Lorena Moreno (banca Nro:1) voto: Positivo
09:20:39 | L3 | VOTO | Samuel Alarcón Muñoz (banca Nro:2) voto: Positivo
09:20:41 | L3 | PALABRA | Andrea Rueda (banca Nro:3) pidio la palabra
09:20:44 | L3 | PALABRA | Gastón Cuis Taccari (banca Nro:4) pidio la palabra
09:20:45 | L3 | PALABRA | Federico Garitano (banca Nro:7) pidio la palabra
09:20:46 | L3 | PALABRA | Hernán Pereira (banca Nro:6) pidio la palabra
09:20:51 | L3 | PALABRA | Se otorgo uso de la palabra a Andrea Rueda (banca Nro:3)
09:20:58 | L3 | PALABRA | Se quito el uso de la palabra a Andrea Rueda (banca Nro:3)
09:21:05 | L3 | PALABRA | Andrea Rueda (banca Nro:3) pidio la palabra
09:21:08 | L3 | PALABRA | Se otorgo uso de la palabra a Gastón Cuis Taccari (banca Nro:4)
09:21:11 | L3 | PALABRA | Se otorgo uso de la palabra a Federico Garitano (banca Nro:7)
09:21:14 | L3 | PALABRA | Se otorgo uso de la palabra a Hernán Pereira (banca Nro:6)
09:21:18 | L3 | PALABRA | Se quito el uso de la palabra a Hernán Pereira (banca Nro:6)
09:21:21 | L3 | PALABRA | Se otorgo uso de la palabra a Andrea Rueda (banca Nro:3)
09:21:24 | L3 | PALABRA | Se quito el uso de la palabra a Andrea Rueda (banca Nro:3)
09:21:46 | L3 | VOTO | Andrea Rueda (banca Nro:3) voto: Negativo
09:21:50 | L3 | VOTO | Gastón Cuis Taccari (banca Nro:4) voto: Negativo
09:21:52 | L3 | VOTO | Andrea Garachico (banca Nro:5) voto: Abstencion
09:21:54 | L3 | VOTO | Hernán Pereira (banca Nro:6) voto: Abstencion
09:21:55 | L3 | VOTO | Federico Garitano (banca Nro:7) voto: Positivo
09:21:55 | L3 | VOTO | Lucila González (banca Nro:8) voto: Negativo
09:21:58 | L3 | VOTO | Dardo Petroli (banca Nro:9) voto: Positivo
09:21:58 | L3 | VOTO | Roxana Barrera (banca Nro:10) voto: Positivo
09:22:00 | L3 | VOTO | Walter Herrero (banca Nro:11) voto: Positivo
09:22:01 | L3 | VOTO | Nadia Garay (banca Nro:12) voto: Negativo
09:22:01 | L3 | VOTACION | Votacion Nº3 completada. Resultado: APROBADA - Votos: 12 de 12 - 6 Positivos, 4 Negativos y 2 Abstenciones
09:22:23 | L3 | INPUT | Nadia Garay (banca Nro:12) se AUSENTO
09:22:27 | L3 | INPUT | Nadia Garay (banca Nro:12) se PRESENTO
09:22:28 | L3 | INPUT | Nadia Garay (banca Nro:12) se AUSENTO
09:22:31 | L3 | INPUT | Nadia Garay (banca Nro:12) se PRESENTO
09:22:32 | L3 | INPUT | Nadia Garay (banca Nro:12) se AUSENTO
09:22:33 | L3 | INPUT | Nadia Garay (banca Nro:12) se PRESENTO
09:22:35 | L3 | INPUT | Nadia Garay (banca Nro:12) se AUSENTO
09:22:36 | L3 | INPUT | Walter Herrero (banca Nro:11) se AUSENTO
